start,end,text
0.0,4.0,"Another day, another court ruling. International students, this one's for you. Let's talk."
4.0,7.8,"Hi there, my name is attorney Rhoda Adjutman-Fram Pong, immigration attorney at Bethel Law,"
7.8,12.1,"and a few moments ago, a federal judge in Massachusetts postponed a rule that was"
12.1,17.4,supposed to take effect tomorrow. This rule by DHS was supposed to end duration of status
17.4,21.4,"for international students and other visa holders. As you may know, the Department of Homeland"
21.4,26.8,Security a few months ago indicated that they had plans to end the long-standing policy of duration
26.8,31.4,of status for international students and other visa holders. Duration of status means that rather
31.4,35.8,"than having a specific date by which you had to leave the United States, individuals like students"
35.8,39.1,"were allowed to stay in the United States as long as they were maintaining lawful status,"
39.1,43.2,meaning they were enrolled in school full-time and weren't violating any other immigration laws.
43.2,47.0,"Now, this had been the policy for years and the Department of Homeland Security was seeking"
47.0,50.8,"to change that, and that was supposed to happen tomorrow, September 15th. Well,"
50.8,55.2,a federal judge has stopped that rule from taking effect tomorrow. This means that while
55.2,59.7,"the lawsuit continues, we are still operating under the old framework, the old policy."
59.7,65.8,Duration of status is still alive. We're still on standby for DHS and USCIS to let us know how
65.8,70.2,"the court's order affects new forms and instructions, but for now, the September 15th"
70.2,74.4,"implementation of this new rule has stopped for now. Now, this does not mean that the"
74.4,77.8,rule has gone away completely. All this means is that the judge has stopped this rule from
77.8,83.1,"taking effect tomorrow while the court case continues. Now, DHS can appeal or seek other"
83.1,87.5,relief. The judge had some pretty strong words as to the Department of Homeland Security's reasoning
87.5,92.2,as to why this change was necessary. DHS argued that the new rule was necessary for national
92.2,96.5,security reasons and to prevent fraud. The judge found that the Department of Homeland Security's
96.5,100.6,justification was exceptionally weak. The judge found that the duration of status had
100.6,105.4,been the system in this country for nearly 50 years. The impact of this new rule on higher
105.4,109.7,"education and the economy would be, as the judge states, catastrophic. So in short,"
109.7,113.4,the rule affecting international students and other visa holders that were supposed to be
113.4,119.0,"implemented tomorrow has been postponed. The case is still ongoing. DHS may still appeal,"
119.0,123.4,"but for now, nothing changes. September 15th is another day. If you have any thoughts or"
123.4,127.1,"questions, let me know in the comments. And as always, if you or a loved one need any assistance,"
127.1,129.0,give my office a call. That's all.
