start,end,text
0.1,6.1,"Finally, good news, and a big update for F-1 student, J-Estrange Visitor, and I visa holder."
6.1,14.1,A federal court in Massachusetts has just temporarily blocked DHS from implementing its new rule ending duration status.
14.1,21.1,"The rule was supposed to take effect tomorrow, September 15, 2026, but for now, it will not take effect."
21.1,29.1,"So what does this mean? It means that if you are in F-1, J-1, or ICE status, the current duration of status system remains in place."
29.1,37.1,"And this is important because the court's relief applies nationwide, not just to the schools and organizations that filed the lawsuit."
37.1,46.1,But this is not the final decision. The lawsuit is still ongoing and the court will have to ultimately decide whether the rule is lawful.
46.1,55.1,"For now, the judge found that the plaintiffs are likely to succeed in their challenge because DHS may have violated the APA rules."
55.1,66.1,"The court raised several concerns, including DHS' cost-benefit analysis, its consideration of less burdensome alternatives, its response to significant public comment,"
66.1,74.1,and whether DHS connected the rule to its national security and fraud prevention goal in an appropriate way.
74.1,82.1,"So, bottom line, duration status stays in place, and for now, the September 15 change is on hold."
